id,amounth,auction_id,phase_id,player_stats_id
1,50,282325,2,44
2,50,282325,2,8
3,80,282325,4,51
4,10,282325,4,15
5,80,282325,4,51
6,10,282325,4,15
7,80,282325,4,51
8,10,282325,4,15
9,52,282325,4,15
10,792,282325,4,51
11,30,282325,6,57
12,10,282325,6,23
13,10,282325,6,21
14,70,282325,6,59
15,30,282325,6,57
16,70,282325,6,59
17,10,282325,6,23
18,70,282325,6,59
19,10,282325,6,23
20,81,282325,6,23
21,297,282325,6,59
22,10,282325,10,80
23,110,282325,10,75
24,110,282325,10,75
25,130,282325,10,75
26,63,282325,10,34
27,3022,282325,10,75
