"id","created","timeCleared","offer_tiepe","canceled","cleared","updated","unitsAvailable","unitsCleared","priceCleared","priceOriginal","product","auction_id","group_id","phase_id","player_id"
4,2017-05-09 16:00:43.579924,2017-05-09 16:00:43.579438,0,false,true,false,0,10,60,60,600,1,22,1,292
1,2017-05-09 16:00:38.428716,2017-05-09 16:00:43.579451,1,false,true,false,0,10,60,60,-600,1,22,1,287
6,2017-05-09 16:00:57.361513,2017-05-09 16:00:57.361198,0,false,true,false,0,5,50,40,250,1,22,1,290
5,2017-05-09 16:00:55.675767,2017-05-09 16:00:57.361280,1,false,true,false,0,5,50,50,-250,1,22,1,291
49,2017-05-09 16:03:51.460914,2017-05-09 16:03:51.460649,0,false,true,false,0,3,30,3,90,1,22,2,287
7,2017-05-09 16:00:57.388740,2017-05-09 16:00:57.400268,1,false,true,true,0,10,50,50,500,1,22,1,291
8,2017-05-09 16:00:57.474146,2017-05-09 16:00:57.473813,0,false,true,false,0,1,40,1,40,1,22,1,286
3,2017-05-09 16:00:42.921875,2017-05-09 16:00:57.473893,1,false,true,false,0,1,40,40,-40,1,22,1,285
44,2017-05-09 16:03:37.122369,2017-05-09 16:03:51.460570,1,false,true,false,0,3,30,30,-90,1,22,2,288
9,2017-05-09 16:00:57.508421,2017-05-09 16:00:57.530263,1,false,true,true,0,9,40,40,360,1,22,1,285
2,2017-05-09 16:00:39.320002,,1,true,false,false,5,0,0,10,0,1,22,1,288
11,2017-05-09 16:01:07.347869,,1,true,false,false,10,0,0,40,0,1,22,1,288
15,2017-05-09 16:01:23.440365,2017-05-09 16:01:23.440021,1,false,true,false,0,5,50,60,-250,1,22,1,288
14,2017-05-09 16:01:18.515231,2017-05-09 16:01:23.439921,0,false,true,false,0,5,50,50,250,1,22,1,292
16,2017-05-09 16:01:23.467959,2017-05-09 16:01:23.522876,1,false,true,true,0,3,56,60,-168,1,22,1,288
13,2017-05-09 16:01:18.294209,2017-05-09 16:01:23.522762,0,false,true,false,0,3,56,56,168,1,22,1,290
50,2017-05-09 16:03:51.477545,,0,false,false,true,27,0,0,3,0,1,22,2,287
18,2017-05-09 16:01:23.840009,2017-05-09 16:01:23.839645,0,false,true,false,0,1,60,50,60,1,22,1,286
17,2017-05-09 16:01:23.537224,2017-05-09 16:01:23.839738,1,false,true,true,0,1,60,60,-60,1,22,1,288
20,2017-05-09 16:01:31.899518,2017-05-09 16:01:31.899009,0,false,true,false,0,1,60,6,60,1,22,1,289
19,2017-05-09 16:01:23.853940,2017-05-09 16:01:31.898930,1,false,true,true,0,1,60,60,-60,1,22,1,288
52,2017-05-09 16:04:23.095668,2017-05-09 16:04:23.095445,1,false,true,false,0,5,50,50,-250,1,22,3,291
21,2017-05-09 16:01:31.969779,2017-05-09 16:01:31.982298,0,false,true,true,0,2,45,6,90,1,22,1,289
12,2017-05-09 16:01:14.796940,2017-05-09 16:01:31.982217,1,false,true,false,0,2,45,45,-90,1,22,1,287
51,2017-05-09 16:04:22.216355,2017-05-09 16:04:23.095368,0,false,true,false,0,5,50,50,250,1,22,3,292
25,2017-05-09 16:01:45.377832,2017-05-09 16:01:45.377432,1,false,true,false,0,2,6,30,-12,1,22,1,291
22,2017-05-09 16:01:32.008800,2017-05-09 16:01:45.377515,0,false,true,true,0,2,6,6,12,1,22,1,289
27,2017-05-09 16:01:47.051075,2017-05-09 16:01:47.050845,1,false,true,false,0,5,6,6,-30,1,22,1,287
26,2017-05-09 16:01:45.446909,2017-05-09 16:01:47.050765,0,false,true,true,0,5,6,6,30,1,22,1,289
28,2017-05-09 16:01:47.073667,,1,false,false,true,2,0,0,6,0,1,22,1,287
33,2017-05-09 16:02:47.360579,2017-05-09 16:02:47.360248,0,false,true,false,0,12,30,5,360,1,22,2,289
32,2017-05-09 16:02:44.189017,2017-05-09 16:02:47.360262,1,false,true,false,0,12,30,30,-360,1,22,2,291
31,2017-05-09 16:02:40.882284,,0,true,false,false,1,0,0,60,0,1,22,2,286
34,2017-05-09 16:02:53.864057,,1,true,false,false,2,0,0,20,0,1,22,2,285
39,2017-05-09 16:03:19.468595,2017-05-09 16:03:19.468200,1,false,true,false,0,2,60,60,-120,1,22,2,285
29,2017-05-09 16:02:30.905957,2017-05-09 16:03:19.468341,0,false,true,false,0,2,60,60,120,1,22,2,287
73,2017-05-09 16:05:20.333571,,1,false,false,true,4,0,0,40,0,1,22,3,288
40,2017-05-09 16:03:19.491132,2017-05-09 16:03:19.501076,0,false,true,true,0,2,60,60,120,1,22,2,287
35,2017-05-09 16:02:53.940754,2017-05-09 16:03:19.500940,0,false,true,false,0,2,60,60,-120,1,22,2,292
30,2017-05-09 16:02:35.309536,,1,true,false,false,3,0,0,10,0,1,22,2,288
37,2017-05-09 16:02:59.609245,,0,true,false,false,1,0,0,60,0,1,22,2,286
42,2017-05-09 16:03:19.628217,,1,true,false,false,3,0,0,20,0,1,22,2,288
45,2017-05-09 16:03:37.851499,,1,false,false,false,10,0,0,2,0,1,22,2,289
41,2017-05-09 16:03:19.557475,,0,true,false,true,1,0,0,60,0,1,22,2,285
46,2017-05-09 16:03:41.581269,,0,false,false,false,2,0,0,90,0,1,22,2,285
43,2017-05-09 16:03:32.527348,,0,true,false,false,1,0,0,40,0,1,22,2,286
47,2017-05-09 16:03:47.017331,,0,false,false,false,1,0,0,51,0,1,22,2,286
48,2017-05-09 16:03:49.043892,,0,false,false,false,2,0,0,120,0,1,22,2,292
56,2017-05-09 16:04:29.762610,2017-05-09 16:04:29.762317,0,false,true,false,0,10,50,50,500,1,22,3,292
53,2017-05-09 16:04:23.113684,2017-05-09 16:04:29.762330,1,false,true,true,0,10,50,50,-500,1,22,3,291
59,2017-05-09 16:04:39.830749,,0,false,false,false,2,0,0,60,0,1,22,3,292
55,2017-05-09 16:04:27.562095,,1,true,false,false,10,0,0,40,0,1,22,3,285
60,2017-05-09 16:04:43.470387,2017-05-09 16:04:43.470090,1,false,true,false,0,10,50,50,-500,1,22,3,285
57,2017-05-09 16:04:32.499639,2017-05-09 16:04:43.470103,0,false,true,false,0,10,50,50,500,1,22,3,286
63,2017-05-09 16:04:50.798408,2017-05-09 16:04:50.798112,0,false,true,false,0,10,40,40,400,1,22,3,286
58,2017-05-09 16:04:36.355983,2017-05-09 16:04:50.798125,1,false,true,false,0,10,40,40,-400,1,22,3,288
86,2017-05-09 16:06:11.223365,2017-05-09 16:06:21.250493,0,false,true,false,0,3,80,80,240,1,22,4,292
65,2017-05-09 16:04:53.598235,2017-05-09 16:04:53.597902,0,false,true,false,0,5,50,50,250,1,22,3,289
64,2017-05-09 16:04:52.105344,2017-05-09 16:04:53.597982,1,false,true,false,0,5,50,50,-250,1,22,3,287
70,2017-05-09 16:05:10.579601,,0,true,false,false,10,0,0,60,0,1,22,3,286
67,2017-05-09 16:05:03.195436,2017-05-09 16:05:03.195177,0,false,true,false,0,5,50,50,250,1,22,3,286
66,2017-05-09 16:04:53.612190,2017-05-09 16:05:03.195087,1,false,true,true,0,5,50,50,-250,1,22,3,287
68,2017-05-09 16:05:03.221310,,0,true,false,true,5,0,0,50,0,1,22,3,286
71,2017-05-09 16:05:20.298012,2017-05-09 16:05:20.297741,0,false,true,false,0,3,40,40,120,1,22,3,289
62,2017-05-09 16:04:48.302753,2017-05-09 16:05:20.297660,1,false,true,false,0,3,40,40,-120,1,22,3,291
75,2017-05-09 16:05:27.584757,,1,false,false,false,6,0,0,20,0,1,22,3,290
72,2017-05-09 16:05:20.311447,2017-05-09 16:05:20.321738,0,false,true,true,0,1,40,40,40,1,22,3,289
69,2017-05-09 16:05:03.896816,2017-05-09 16:05:20.321817,1,false,true,false,0,1,40,40,-40,1,22,3,288
74,2017-05-09 16:05:23.827528,,0,true,false,false,10,0,0,50,0,1,22,3,286
76,2017-05-09 16:05:35.310043,,0,false,false,false,10,0,0,60,0,1,22,3,286
54,2017-05-09 16:04:25.213049,,1,true,false,false,10,0,0,20,0,1,22,3,287
77,2017-05-09 16:05:36.880901,,1,false,false,false,5,0,0,10,0,1,22,3,287
78,2017-05-09 16:05:38.673427,,0,false,false,false,3,0,0,60,0,1,22,3,291
80,2017-05-09 16:06:03.482330,2017-05-09 16:06:03.482004,0,false,true,false,0,6,60,60,360,1,22,4,292
79,2017-05-09 16:06:03.291866,2017-05-09 16:06:03.482082,1,false,true,false,0,6,60,60,-360,1,22,4,288
83,2017-05-09 16:06:09.253971,2017-05-09 16:06:09.253730,0,false,true,false,0,4,60,60,240,1,22,4,289
81,2017-05-09 16:06:03.497730,2017-05-09 16:06:09.253646,1,false,true,true,0,4,60,60,-240,1,22,4,288
87,2017-05-09 16:06:12.681307,2017-05-09 16:06:12.680726,0,false,true,false,0,10,50,25,500,1,22,4,290
85,2017-05-09 16:06:09.966320,2017-05-09 16:06:12.681033,1,false,true,false,0,10,50,50,-500,1,22,4,285
84,2017-05-09 16:06:09.281293,2017-05-09 16:06:13.088791,0,false,true,true,0,6,60,60,360,1,22,4,289
88,2017-05-09 16:06:12.711060,2017-05-09 16:06:12.721159,1,false,true,true,0,1,50,50,50,1,22,4,285
89,2017-05-09 16:06:13.089084,2017-05-09 16:06:13.088778,1,false,true,false,0,6,60,60,-360,1,22,4,287
90,2017-05-09 16:06:21.250997,2017-05-09 16:06:21.250604,1,false,true,false,0,3,80,80,-240,1,22,4,285
93,2017-05-09 16:06:22.894552,,0,false,false,false,1,0,0,170,0,1,22,4,292
94,2017-05-09 16:06:25.826313,2017-05-09 16:06:25.826064,0,false,true,false,0,8,80,70,640,1,22,4,290
91,2017-05-09 16:06:21.281408,2017-05-09 16:06:25.825986,1,false,true,true,0,8,80,80,-640,1,22,4,285
82,2017-05-09 16:06:04.952245,,1,true,false,false,2,0,0,40,0,1,22,4,291
97,2017-05-09 16:06:27.691376,2017-05-09 16:06:27.691118,0,false,true,false,0,2,60,40,120,1,22,4,286
96,2017-05-09 16:06:26.911239,2017-05-09 16:06:27.691031,1,false,true,false,0,2,60,60,-120,1,22,4,291
92,2017-05-09 16:06:22.340002,2017-05-09 16:06:27.717524,1,false,true,false,0,3,41,41,-123,1,22,4,287
98,2017-05-09 16:06:27.706559,2017-05-09 16:06:27.717447,0,false,true,true,0,3,41,40,123,1,22,4,286
100,2017-05-09 16:06:30.053947,2017-05-09 16:06:30.053684,1,false,true,false,0,3,70,70,-210,1,22,4,287
99,2017-05-09 16:06:27.731006,,1,true,false,true,2,0,0,41,0,1,22,4,287
95,2017-05-09 16:06:25.850262,2017-05-09 16:06:30.053697,0,false,true,true,0,3,70,70,210,1,22,4,290
148,2017-05-09 16:09:11.840885,2017-05-09 16:09:11.840614,0,false,true,false,0,5,50,50,250,1,22,5,290
102,2017-05-09 16:06:31.794697,2017-05-09 16:06:31.794449,0,false,true,false,0,3,70,40,210,1,22,4,289
101,2017-05-09 16:06:30.783125,2017-05-09 16:06:31.794315,1,false,true,false,0,3,70,70,-210,1,22,4,285
143,2017-05-09 16:08:57.747830,2017-05-09 16:09:11.840526,1,false,true,true,0,5,50,50,-250,1,22,5,285
105,2017-05-09 16:06:45.680724,,0,false,false,false,1,0,0,39,0,1,22,4,287
531,2017-05-09 16:46:59.245156,2017-05-09 16:46:59.244884,0,false,true,false,0,10,36,35,360,1,22,18,289
103,2017-05-09 16:06:31.831527,,0,true,false,true,2,0,0,40,0,1,22,4,289
108,2017-05-09 16:06:59.143437,,0,false,false,false,5,0,0,60,0,1,22,4,289
159,2017-05-09 16:10:04.508228,,0,true,false,false,6,0,0,70,0,1,22,6,290
150,2017-05-09 16:09:21.094592,2017-05-09 16:09:21.094085,1,false,true,false,0,3,50,50,-150,1,22,5,291
104,2017-05-09 16:06:42.038199,,0,true,false,false,2,0,0,70,0,1,22,4,286
110,2017-05-09 16:07:06.467454,,0,false,false,false,5,0,0,100,0,1,22,4,286
107,2017-05-09 16:06:47.314223,,0,true,false,false,14,0,0,100,0,1,22,4,285
111,2017-05-09 16:07:13.916380,,0,false,false,false,14,0,0,30,0,1,22,4,285
149,2017-05-09 16:09:11.866917,2017-05-09 16:09:21.094206,0,false,true,true,0,3,50,50,150,1,22,5,290
114,2017-05-09 16:07:48.171636,2017-05-09 16:07:48.171289,0,false,true,false,0,10,60,40,600,1,22,5,285
112,2017-05-09 16:07:44.408714,2017-05-09 16:07:48.171367,1,false,true,false,0,10,60,60,-600,1,22,5,291
151,2017-05-09 16:09:21.111554,,0,false,false,true,6,0,0,50,0,1,22,5,290
145,2017-05-09 16:09:03.313541,,0,true,false,false,6,0,0,60,0,1,22,5,286
116,2017-05-09 16:07:52.793803,2017-05-09 16:07:52.793575,0,false,true,false,0,5,60,50,300,1,22,5,289
115,2017-05-09 16:07:48.190688,2017-05-09 16:07:52.793496,1,false,true,true,0,5,60,60,-300,1,22,5,291
153,2017-05-09 16:09:22.639591,,0,false,false,false,10,0,0,55,0,1,22,5,289
154,2017-05-09 16:09:27.255474,,0,false,false,false,1,0,0,60,0,1,22,5,292
119,2017-05-09 16:07:57.765320,2017-05-09 16:07:57.764988,0,false,true,false,0,10,20,20,200,1,22,5,292
113,2017-05-09 16:07:44.811533,2017-05-09 16:07:57.765001,1,false,true,false,0,10,20,20,-200,1,22,5,287
155,2017-05-09 16:09:27.969184,,0,false,false,false,3,0,0,80,0,1,22,5,291
121,2017-05-09 16:07:59.799189,2017-05-09 16:07:59.798960,1,false,true,false,0,10,30,30,-300,1,22,5,285
120,2017-05-09 16:07:59.437693,2017-05-09 16:07:59.798880,0,false,true,false,0,10,30,30,300,1,22,5,286
152,2017-05-09 16:09:22.354065,,0,true,false,false,8,0,0,50,0,1,22,5,286
156,2017-05-09 16:09:28.457111,,0,false,false,false,10,0,0,70,0,1,22,5,286
147,2017-05-09 16:09:06.769689,,1,true,false,false,8,0,0,40,0,1,22,5,288
125,2017-05-09 16:08:07.657752,2017-05-09 16:08:07.657412,0,false,true,false,0,10,40,40,400,1,22,5,286
123,2017-05-09 16:08:05.075476,2017-05-09 16:08:07.657425,1,false,true,false,0,10,40,40,-400,1,22,5,288
126,2017-05-09 16:08:07.815602,2017-05-09 16:08:07.815108,1,false,true,false,0,3,50,50,-150,1,22,5,291
117,2017-05-09 16:07:52.808439,2017-05-09 16:08:07.815216,0,false,true,true,0,3,50,50,150,1,22,5,289
157,2017-05-09 16:09:31.588370,,1,false,false,false,8,0,0,45,0,1,22,5,288
122,2017-05-09 16:07:59.814462,,1,true,false,true,10,0,0,30,0,1,22,5,285
129,2017-05-09 16:08:11.101567,2017-05-09 16:08:11.101315,1,false,true,false,0,2,50,50,-100,1,22,5,285
127,2017-05-09 16:08:07.832158,2017-05-09 16:08:11.101176,0,false,true,true,0,2,50,50,100,1,22,5,289
161,2017-05-09 16:10:07.460071,,0,false,false,false,3,0,0,100,0,1,22,6,292
131,2017-05-09 16:08:16.458005,,0,true,false,false,5,0,0,80,0,1,22,5,286
136,2017-05-09 16:08:29.851356,2017-05-09 16:08:29.851077,1,false,true,false,0,5,60,60,-300,1,22,5,285
134,2017-05-09 16:08:21.796925,2017-05-09 16:08:29.851127,0,false,true,false,0,5,60,60,300,1,22,5,292
185,2017-05-09 16:12:27.802878,,1,true,false,true,3,0,0,50,0,1,22,7,291
137,2017-05-09 16:08:39.580026,2017-05-09 16:08:39.579758,1,false,true,false,0,3,80,80,-240,1,22,5,285
132,2017-05-09 16:08:19.334089,2017-05-09 16:08:39.579770,0,false,true,false,0,3,80,80,240,1,22,5,291
135,2017-05-09 16:08:28.239331,,0,true,false,false,4,0,0,90,0,1,22,5,286
