"id","idd","total_demand","updated","finished","auction_id"
1,1,49,2017-05-09 16:04:10.523842,true,1
2,2,83,2017-05-09 16:07:34.926948,true,1
3,3,58,2017-05-09 16:11:35.428387,true,1
4,4,54,2017-05-09 16:16:24.365634,true,1
5,5,88,2017-05-09 16:19:45.937030,true,1
6,6,67,2017-05-09 16:23:06.929130,true,1
7,7,57,2017-05-09 16:40:16.143007,true,1
8,8,75,2017-05-09 16:44:11.255757,true,1
9,9,38,2017-05-09 16:47:18.353893,true,1
10,10,31,2017-05-09 16:51:05.454831,true,1
11,11,59,2017-05-09 16:54:18.565741,true,1
12,12,51,2017-05-09 16:58:26.629953,true,1
13,13,13,2017-05-09 17:02:16.698698,true,1
14,14,50,2017-05-09 17:04:35.987037,true,1
15,15,31,2017-05-09 17:08:07.562252,true,1
